Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,R3,R_0805_2012Metric,1,2k,
2,C4,C_1206_3216Metric,1,4.7uF,
4,"C3,C5,C6",C_0805_2012Metric,3,1uF,
5,C2,C_1206_3216Metric,1,10uF,
6,U3,WSON-10_L2.0-W2.0-P0.40-TL-EP,1,BQ24040DSQT,
7,"R5,R6",R_0805_2012Metric,2,5.1k,
8,U2,SOT-23-5,1,TLV75533PDBVR,
9,R2,R_0805_2012Metric,1,1.1k,
10,USB-C-Port1,USB-C-SMD_TYPE-C-USB-18,1,105450-0101,
11,C7,C_0805_2012Metric,1,4.7nF,
12,D1,SOT-23-3,1,BAT54_C8590,
13,R4,R_0805_2012Metric,1,10k,
14,R7,R_0805_2012Metric,1,1M,
15,R1,R_0805_2012Metric,1,560k,
16,U4,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,1,MAX98357AETE+T,
17,C1,C_0805_2012Metric,1,0.1uF,
